quartiere,file_locale,pdf_url_sorgente
Arbostella,Quartieri/Arbostella.pdf,https://serviziidrici.grupposistemisalerno.it/wp-content/uploads/2026/01/Dati_Fuorni_anno2025.pdf
Brignano,Quartieri/Brignano.pdf,https://serviziidrici.grupposistemisalerno.it/wp-content/uploads/2026/01/Dati_Ausino-Integrativa_anno2025.pdf
Calcedonia,Quartieri/Calcedonia.pdf,https://serviziidrici.grupposistemisalerno.it/wp-content/uploads/2026/01/Dati_Centro_anno2025.pdf
"Calenda-Alta (dopo Da Procida, compreso)","Quartieri/Calenda-Alta_(dopo_Da_Procida,_compreso).pdf",https://serviziidrici.grupposistemisalerno.it/wp-content/uploads/2026/01/Dati_Ausino-Consorziale_anno2025.pdf
Calenda,Quartieri/Calenda.pdf,https://serviziidrici.grupposistemisalerno.it/wp-content/uploads/2026/01/Dati_Centro_anno2025.pdf
Canalone,Quartieri/Canalone.pdf,https://serviziidrici.grupposistemisalerno.it/wp-content/uploads/2025/09/Sito-Cernicchiara_da-pubblicare-2025.pdf
Cappelle,Quartieri/Cappelle.pdf,https://serviziidrici.grupposistemisalerno.it/wp-content/uploads/2026/01/Dati_Ausino-Consorziale_anno2025.pdf
Carmine,Quartieri/Carmine.pdf,https://serviziidrici.grupposistemisalerno.it/wp-content/uploads/2026/01/Dati_Centro_anno2025.pdf
Casa Manzo,Quartieri/Casa_Manzo.pdf,https://serviziidrici.grupposistemisalerno.it/wp-content/uploads/2026/01/Dati_Ausino-Integrativa_anno2025.pdf
Centro Storico,Quartieri/Centro_Storico.pdf,https://serviziidrici.grupposistemisalerno.it/wp-content/uploads/2026/01/Dati_Centro-Storico_anno2025.pdf
Centro,Quartieri/Centro.pdf,https://serviziidrici.grupposistemisalerno.it/wp-content/uploads/2026/01/Dati_Centro_anno2025.pdf
Croce,Quartieri/Croce.pdf,https://serviziidrici.grupposistemisalerno.it/wp-content/uploads/2025/09/Dati-Ausino-Integrativa_da-pubblicare-2025.pdf
Duomo,Quartieri/Duomo.pdf,https://serviziidrici.grupposistemisalerno.it/wp-content/uploads/2026/01/Dati_Centro-Storico_anno2025.pdf
Felline,Quartieri/Felline.pdf,https://serviziidrici.grupposistemisalerno.it/wp-content/uploads/2026/01/Dati_Centro-Storico_anno2025.pdf
Fratte,Quartieri/Fratte.pdf,https://serviziidrici.grupposistemisalerno.it/wp-content/uploads/2026/01/Dati_Centro_anno2025.pdf
Fuorni,Quartieri/Fuorni.pdf,https://serviziidrici.grupposistemisalerno.it/wp-content/uploads/2026/01/Dati_Fuorni_anno2025.pdf
Gelsi Rossi,Quartieri/Gelsi_Rossi.pdf,https://serviziidrici.grupposistemisalerno.it/wp-content/uploads/2026/01/Dati_Centro_anno2025.pdf
Gelso,Quartieri/Gelso.pdf,https://serviziidrici.grupposistemisalerno.it/wp-content/uploads/2026/01/Dati_Centro_anno2025.pdf
Giovi,Quartieri/Giovi.pdf,https://serviziidrici.grupposistemisalerno.it/wp-content/uploads/2026/01/Dati_Ausino-Integrativa_anno2025.pdf
Mariconda,Quartieri/Mariconda.pdf,https://serviziidrici.grupposistemisalerno.it/wp-content/uploads/2026/01/Dati_Fuorni_anno2025.pdf
Matierno,Quartieri/Matierno.pdf,https://serviziidrici.grupposistemisalerno.it/wp-content/uploads/2026/01/Dati_Ausino-Consorziale_anno2025.pdf
Mennola,Quartieri/Mennola.pdf,https://serviziidrici.grupposistemisalerno.it/wp-content/uploads/2026/01/Dati_Centro_anno2025.pdf
Mercatello,Quartieri/Mercatello.pdf,https://serviziidrici.grupposistemisalerno.it/wp-content/uploads/2026/01/Dati_Fuorni_anno2025.pdf
Monti,Quartieri/Monti.pdf,https://serviziidrici.grupposistemisalerno.it/wp-content/uploads/2026/01/Dati_Centro-Storico_anno2025.pdf
Monticelli,Quartieri/Monticelli.pdf,https://serviziidrici.grupposistemisalerno.it/wp-content/uploads/2026/01/Dati_Fuorni_anno2025.pdf
Ogliara,Quartieri/Ogliara.pdf,https://serviziidrici.grupposistemisalerno.it/wp-content/uploads/2026/01/Dati_Ausino-Integrativa_anno2025.pdf
Oltre Via Ventimiglia (lato zona industriale),Quartieri/Oltre_Via_Ventimiglia_(lato_zona_industriale).pdf,https://serviziidrici.grupposistemisalerno.it/wp-content/uploads/2026/01/Dati_Fuorni_anno2025.pdf
"Pastena (sino a Via Ventimiglia, lato Vietri)","Quartieri/Pastena_(sino_a_Via_Ventimiglia,_lato_Vietri).pdf",https://serviziidrici.grupposistemisalerno.it/wp-content/uploads/2026/01/Dati_Torrione_anno2025.pdf
Pastorano,Quartieri/Pastorano.pdf,https://serviziidrici.grupposistemisalerno.it/wp-content/uploads/2026/01/Dati_Ausino-Integrativa_anno2025.pdf
Petrosino,Quartieri/Petrosino.pdf,https://serviziidrici.grupposistemisalerno.it/wp-content/uploads/2026/01/Dati_Centro_anno2025.pdf
Picarielli,Quartieri/Picarielli.pdf,https://serviziidrici.grupposistemisalerno.it/wp-content/uploads/2026/01/Dati_Serb-Pastena_anno2025.pdf
Porto,Quartieri/Porto.pdf,https://serviziidrici.grupposistemisalerno.it/wp-content/uploads/2026/01/Dati_Centro-Storico_anno2025.pdf
Quartiere Europa,Quartieri/Quartiere_Europa.pdf,https://serviziidrici.grupposistemisalerno.it/wp-content/uploads/2026/01/Dati_Serb-Pastena_anno2025.pdf
Quartiere Italia,Quartieri/Quartiere_Italia.pdf,https://serviziidrici.grupposistemisalerno.it/wp-content/uploads/2026/01/Dati_Serb-Pastena_anno2025.pdf
Rione Campione,Quartieri/Rione_Campione.pdf,https://serviziidrici.grupposistemisalerno.it/wp-content/uploads/2026/01/Dati_Centro_anno2025.pdf
Rufoli,Quartieri/Rufoli.pdf,https://serviziidrici.grupposistemisalerno.it/wp-content/uploads/2026/01/Dati_Ausino-Integrativa_anno2025.pdf
Sala Abbagnano,Quartieri/Sala_Abbagnano.pdf,https://serviziidrici.grupposistemisalerno.it/wp-content/uploads/2026/01/Dati_Ausino-Integrativa_anno2025.pdf
San Leonardo,Quartieri/San_Leonardo.pdf,https://serviziidrici.grupposistemisalerno.it/wp-content/uploads/2026/01/Dati_Fuorni_anno2025.pdf
Sant’Eustachio,Quartieri/Sant’Eustachio.pdf,https://serviziidrici.grupposistemisalerno.it/wp-content/uploads/2026/01/Dati_Serb-Pastena_anno2025.pdf
Santa Margherita,Quartieri/Santa_Margherita.pdf,https://serviziidrici.grupposistemisalerno.it/wp-content/uploads/2026/01/Dati_Serb-Pastena_anno2025.pdf
